时间戳记,Nickname for the whole user study,Which Version do you play?, Indicate the extent do you feel this way before playing the game.   [Interested], Indicate the extent do you feel this way before playing the game.   [Distressed], Indicate the extent do you feel this way before playing the game.   [Excited], Indicate the extent do you feel this way before playing the game.   [Upset], Indicate the extent do you feel this way before playing the game.   [Strong], Indicate the extent do you feel this way before playing the game.   [Guilty], Indicate the extent do you feel this way before playing the game.   [Scared], Indicate the extent do you feel this way before playing the game.   [Hostile], Indicate the extent do you feel this way before playing the game.   [Enthusiastic], Indicate the extent do you feel this way before playing the game.   [Proud], Indicate the extent do you feel this way before playing the game.   [Irritable], Indicate the extent do you feel this way before playing the game.   [Alert], Indicate the extent do you feel this way before playing the game.   [Ashamed], Indicate the extent do you feel this way before playing the game.   [Inspired], Indicate the extent do you feel this way before playing the game.   [Nervous], Indicate the extent do you feel this way before playing the game.   [Determined], Indicate the extent do you feel this way before playing the game.   [Attentive], Indicate the extent do you feel this way before playing the game.   [Jittery], Indicate the extent do you feel this way before playing the game.   [Active], Indicate the extent do you feel this way before playing the game.   [Afraid],Select to what extent you feel now represented by this image,Select to what extent you feel now represented by this image,Select to what extent you feel now represented by this image
2026/05/07 12:06:38 下午 GMT+9,Luke A,Version 1,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,1,5,5
2026/05/07 12:19:34 下午 GMT+9,Aman,Version 1,A little,A little,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,3,2,2
2026/05/07 12:49:21 下午 GMT+9,thai,Version 1,Quite a bit,A little,Quite a bit,Moderately,Moderately,A little,A little,A little,Moderately,A little,A little,A little,A little,A little,A little,A little,Moderately,A little,Moderately,A little,2,2,2
2026/05/07 1:09:31 下午 GMT+9,prooheckcp,Version 1,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,3,3,3
2026/05/08 1:57:23 下午 GMT+9,August,Version 1,Moderately,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,A little,Very slightly or not at all,3,4,3
2026/05/08 2:31:24 下午 GMT+9,ding jiaye,Version 1,Quite a bit,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Moderately,Quite a bit,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Moderately,Moderately,Moderately,A little,Quite a bit,A little,3,4,4
2026/05/08 3:02:24 下午 GMT+9,Guhan,Version 1,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,3,5,3
2026/05/08 3:17:44 下午 GMT+9,Yuvraj,Version 1,Quite a bit,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Quite a bit,A little,Moderately,Very slightly or not at all,3,4,3
2026/05/08 4:57:06 下午 GMT+9,LIU,Version 1,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,3,3,5
2026/05/07 12:11:18 下午 GMT+9,Yash,Version 2,Quite a bit,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,3,4,3
